Raman,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
459.20332,0.08378,0.06155,0.21195,0.02297,0.02991,0.03576,0.08317,0.08795,0.0838,0.0751,0.07246,0.0833,0.0453,0.05375,0.0598,0.08378,0.08257,0.07353,0.08711,0.09098,0.18403,0.02317,0.04628,0.07786,0.04558,0.05723,0.04731,0.07094,0.109,0.21366,0.07786,0.04558,0.30818,0.09576,0.09086,0.08573,0.08317,0.08795,0.0838,0.30854,0.3027,0.31699,0.09576,0.09671,0.09741,0.10021,0.10427,0.10613,0.09352,0.10381,0.11576,0.30854,0.30654,0.70613,0.30854,0.30249,0.29702,0.09784,0.08959,0.09748
464.9492,0.13196,0.12632,0.26073,0.11445,0.12588,0.13306,0.17462,0.17707,0.17432,0.15868,0.15678,0.1666,0.11598,0.11742,0.12824,0.13196,0.12681,0.12912,0.17462,0.18078,0.2566,0.11963,0.1352,0.14774,0.1106,0.10964,0.12857,0.15888,0.18598,0.27881,0.14774,0.1106,0.31712,0.12735,0.12435,0.13238,0.17462,0.17707,0.17432,0.31807,0.31515,0.32625,0.12735,0.12475,0.12717,0.13165,0.13231,0.13849,0.12519,0.13171,0.13971,0.31807,0.3012,0.70029,0.31807,0.28099,0.27266,0.12936,0.1331,0.12269
470.69129,0.20586,0.17849,0.30975,0.20092,0.20773,0.22204,0.27828,0.27797,0.2794,0.25414,0.24661,0.25031,0.18907,0.19399,0.20173,0.20586,0.20024,0.20265,0.28616,0.29539,0.37118,0.20261,0.216,0.23319,0.19022,0.18855,0.17482,0.25446,0.25243,0.30333,0.23319,0.19022,0.34587,0.14764,0.14484,0.1522,0.27828,0.27797,0.2794,0.34957,0.34957,0.35685,0.14764,0.15066,0.14912,0.15184,0.15421,0.15357,0.14553,0.14996,0.1587,0.34957,0.32882,0.7228,0.34957,0.32771,0.31117,0.1496,0.13844,0.14236
476.4296,0.20975,0.20281,0.31927,0.18129,0.1882,0.20333,0.25897,0.25442,0.25224,0.24777,0.25085,0.29196,0.16339,0.17087,0.17554,0.20975,0.20643,0.20853,0.25897,0.26782,0.35069,0.18703,0.18798,0.19142,0.16439,0.18404,0.17936,0.24894,0.26459,0.31384,0.19142,0.16439,0.32269,0.15548,0.14748,0.16142,0.25897,0.25442,0.25224,0.32322,0.31739,0.32842,0.15548,0.15329,0.16136,0.15964,0.16209,0.16858,0.15338,0.15766,0.16366,0.32322,0.30939,0.70617,0.32322,0.31371,0.29433,0.15742,0.15483,0.15166
482.16411,0.12657,0.11226,0.23951,0.132,0.14333,0.15135,0.17343,0.17197,0.17314,0.19007,0.18263,0.18742,0.1187,0.12613,0.13121,0.12657,0.13152,0.13206,0.17343,0.18905,0.27396,0.13311,0.14495,0.15837,0.11334,0.11235,0.15504,0.18607,0.2034,0.27145,0.15837,0.11334,0.31587,0.12983,0.12682,0.1199,0.17343,0.17197,0.17314,0.32536,0.32244,0.33333,0.12983,0.13215,0.13703,0.13411,0.13754,0.141,0.12767,0.13658,0.14452,0.32536,0.31197,0.71095,0.32536,0.32409,0.31591,0.13183,0.12151,0.1344
487.89485,0.11281,0.11401,0.24366,0.0589,0.07021,0.08067,0.11273,0.10876,0.11293,0.12389,0.11949,0.12495,0.08819,0.08709,0.10146,0.10682,0.11442,0.12029,0.12061,0.13391,0.23924,0.05939,0.06131,0.08394,0.08873,0.08795,0.13659,0.12404,0.17585,0.25394,0.08394,0.08873,0.28038,0.12785,0.12485,0.13458,0.11273,0.10876,0.11293,0.30581,0.29706,0.31435,0.12785,0.12895,0.12939,0.13214,0.13928,0.14603,0.12568,0.13341,0.14932,0.30581,0.29567,0.69792,0.30581,0.29712,0.28605,0.12986,0.13821,0.14424
493.62181,0.11101,0.11166,0.24632,0.05221,0.05069,0.06487,0.07923,0.08677,0.08105,0.08061,0.07246,0.07914,0.07369,0.07538,0.08361,0.11101,0.11206,0.11441,0.08711,0.09492,0.19792,0.05265,0.06659,0.08545,0.07718,0.07651,0.11066,0.08071,0.14668,0.24623,0.08545,0.07718,0.26712,0.13032,0.12583,0.13507,0.07923,0.08677,0.08105,0.29152,0.28569,0.3033,0.13032,0.13363,0.12988,0.1346,0.13455,0.14855,0.12816,0.13804,0.15173,0.29152,0.2791,0.69673,0.29152,0.26958,0.26679,0.13232,0.12893,0.1536
499.345,0.08318,0.08499,0.21903,0.05138,0.06647,0.07651,0.09972,0.09462,0.09955,0.07128,0.06822,0.07497,0.07762,0.08318,0.09223,0.08318,0.07933,0.07647,0.09972,0.11816,0.20799,0.05181,0.06577,0.09229,0.07809,0.07741,0.1374,0.07137,0.10535,0.19299,0.09229,0.07809,0.31875,0.1271,0.12411,0.13972,0.09972,0.09462,0.09955,0.34724,0.33265,0.35459,0.1271,0.12673,0.12667,0.1314,0.1348,0.14352,0.12494,0.13633,0.15413,0.34724,0.33434,0.72043,0.34724,0.34217,0.32567,0.12911,0.11896,0.12948
505.06443,0.10952,0.10868,0.25074,0.02882,0.03614,0.04283,0.08908,0.09266,0.08931,0.03988,0.0339,0.04581,0.08668,0.08829,0.09938,0.10952,0.11707,0.12912,0.09696,0.11422,0.16979,0.03328,0.03573,0.06798,0.08113,0.08042,0.13366,0.03993,0.06726,0.14256,0.06798,0.08113,0.31731,0.13923,0.13423,0.13728,0.08908,0.09266,0.08931,0.30727,0.30144,0.3101,0.13675,0.14178,0.14443,0.13854,0.14226,0.14603,0.12965,0.1485,0.15653,0.31602,0.30147,0.70621,0.30144,0.31241,0.30419,0.14368,0.1396,0.14798
510.78009,0.08767,0.0973,0.21922,0.05764,0.07686,0.08275,0.09894,0.09501,0.08892,0.06576,0.05975,0.0708,0.06554,0.07117,0.08033,0.08767,0.08493,0.09382,0.09894,0.12643,0.25347,0.05813,0.05968,0.09039,0.06594,0.06536,0.10799,0.06585,0.09603,0.21891,0.09039,0.06594,0.33462,0.14937,0.14139,0.14951,0.09894,0.09501,0.08892,0.3414,0.33557,0.35459,0.14937,0.14918,0.14936,0.15356,0.16964,0.17621,0.14726,0.15093,0.16134,0.3414,0.33711,0.71924,0.3414,0.34495,0.33126,0.15133,0.16997,0.18334
